Part_Name,Count,Percentage
"MEMBER, ROOF BACK",1,0.0
Tank assy rr,1,0.0
"ASSY,SPLASH,R",1,0.0
RADIATOR SUPPORT PATTO,1,0.0
Cross Member Comp,1,0.0
TAPE FR DR OUT ROOF,1,0.0
"COMP, WHEEL HOUSE OUTER,",1,0.0
blancer,1,0.0
Grill Comp Rad Upper,1,0.0
Tape Rear Dr Pill RR R,1,0.0
Tape Rear Dr Piller RRL,1,0.0
"SUPPORT, FRONT STRUT (LH)",1,0.0
Hinge Comp Rear Dr Lower R,1,0.0
Panel fender apron support RH,1,0.0
BRACKETS REAR,1,0.0
"TANK,ASSY WA",1,0.0
molding fr pillar lower,1,0.0
"BELT ASSY,FR,R (BLACK)",1,0.0
Bumper Fr Uppr,1,0.0
Tape Rr Door Out Roof Right,1,0.0
TAPE RR DR OTER RR RH,1,0.0
APRON LH FEN,1,0.0
HARNESS WIRING MAIN,1,0.0
BUMPER MEMBER UPPER,1,0.0
Guard splash,1,0.0
EXTENSION ASSY FR BUMPER RH,1,0.0
STRURT RH,1,0.0
RENIF QTR INR FR L,1,0.0
HINGE HOOD RH AND LH,1,0.0
HOLDER RR BUM SIDE RH,1,0.0
Absorber Assy,1,0.0
RH BEARING RR WHEEL,1,0.0
PNL COMP QTR INR UPR RH,1,0.0
GUARD FR. FENDER SPLASH LH,1,0.0
SHROUD FAN ASSY ,1,0.0
Strut FR Susp RH,1,0.0
Bezel Fog Right,1,0.0
FRONT DOOR STRIKER LH,1,0.0
PANEL BONNET ,1,0.0
BEZEL FOG RH AND LH,1,0.0
"HINGE COMP,REAR DOOR UPPER R",1,0.0
"COMP,FL CONSOLE FR DRVR",1,0.0
Frame S/comp FR DOor,1,0.0
CASE DISEL ENG CONT,1,0.0
RAIL R,1,0.0
PANEL COMP FONT HOOD,1,0.0
PU V/Z CRYSTAL BLACK SIDING,1,0.0
Engine oil filter,1,0.0
Conneting rod 1,1,0.0
RACK END 2,1,0.0
GUARD ASSLY RR FENDER SPLASH RH,1,0.0
Exhaust Valve Set Cylinder 3,1,0.0
PANEL ASSY. FRONT DOOR RH,1,0.0
BRACKET LH SIDE,1,0.0
RAIL COMP RR DOOR CTR LH,1,0.0
EBMLEM EECO,1,0.0
FRAME ASSLY,1,0.0
GARNISH RDTR GRILL,1,0.0
HANDLE OUTSIDE ALTO WAGONR R,1,0.0
Shaft Clutch Release,1,0.0
Seat Belt LH,1,0.0
Bolt Nut Pin Clip,1,0.0
ENG GUARD RH,1,0.0
LH DRIVE SHAFT ASSY,1,0.0
LIQUID GAS KIT,1,0.0
BUMPER FR L HOLDER,1,0.0
tyre RH,1,0.0
wheel front rh,1,0.0
Bezel RH & LH,1,0.0
BOLT - 11,1,0.0
Wire. passenger air bag,1,0.0
Support FR Strut,1,0.0
Cover Under Lower,1,0.0
SENSOR PLATE,1,0.0
EXTN QTR INR L,1,0.0
SWITCH ASSYHOOD,1,0.0
BUMPER (FR),1,0.0
Support Dash Board,1,0.0
TAPE FR DOOR PILLER,1,0.0
holder lh side,1,0.0
"BEARING, CRANK UPPER",1,0.0
MGGO(75W90)-S,1,0.0
"GUARD ASSY,RR FENDERSPLASH,L",1,0.0
REINFORCEMENT QTR WINDOW REAR LH,1,0.0
HING FRONT HOOD L,1,0.0
a pillar,1,0.0
BEZEL FR FOG LAMP R BLACK,1,0.0
GROMAET,1,0.0
PILLER A LHS,1,0.0
pipe 1,1,0.0
CROSS MEMBER DASH,1,0.0
Emblem baleno,1,0.0
FANSHOUD,1,0.0
HEAD LAMP SUPP FRAM LH/RH,1,0.0
WIPER SPARY MOTOR,1,0.0
FRONT SHOCKER,1,0.0
Door Quarter Glass RH,1,0.0
Guard Assembly FR Door Splash LH,1,0.0
MEMBER H/D LOCK,1,0.0
"TRIM, RR DOOR, R",1,0.0
AIR SUCT,1,0.0
"PIPE,AIR SUCTI",1,0.0
"HANDLE COMP, FRONT",1,0.0
COVER QTR WINDOW LH,1,0.0
Controller assy Air bag,1,0.0
Gasket EXH Manf,1,0.0
STEERING COLUMN ASSY,1,0.0
Spoiler rear as.,1,0.0
"HOLDER,RR bmr SIDE,R",1,0.0
FAN SHROUD ASS,1,0.0
TAPE RR DR OUTER UPR LH,1,0.0
Tape Frt Door RR R,1,0.0
ADJUSTER S/ASSY OUTSIDE,1,0.0
timing chain,1,0.0
"PIPE COMP, EXH. NO.1",1,0.0
"HANDLE,REAR DR OUT,R(BLACK)",1,0.0
WASHER INJ CLAMPING SPHER,1,0.0
Trim Ctr Pillar Upper RH,1,0.0
"HINGE COMP,FRONT   NO.2",1,0.0
MEMBER FROTN BUMPER,1,0.0
BEZEL FOG LAMPS-2,1,0.0
Front Bucket Seat Right Passenger,1,0.0
JOINT FR STABILJER BAR,1,0.0
Frame S Comp Front Door Outer LH,1,0.0
hose rdtr  outlet,1,0.0
Weatherstrip dr opng,1,0.0
LOWER MOUNT,1,0.0
"ARM COMP REAR DR LOWER,L",1,0.0
waether strip rear,1,0.0
LINK STABILIZAR BAR RH,1,0.0
"PANEL, QTR INNER REAR",1,0.0
Front end upper rh,1,0.0
GARNISH GRILLEE,1,0.0
guard assy wheel lh,1,0.0
wheel cap front left,1,0.0
Head lamp RH,1,0.0
BEZEL FRONT FOG LAMP  L,1,0.0
LINCROD,1,0.0
net bumper lower,1,0.0
inter cooler,1,0.0
W/S GGLASS,1,0.0
COVER FRONT FENDER TOP L,1,0.0
FR.BUMPER HOLDERS,1,0.0
"CASE, AIR SUCTION",1,0.0
GARNISH LWR R,1,0.0
"HOLDER,FR BUMPER R",1,0.0
TAPE FR DOOR OUTER UPR RH,1,0.0
WEATHER DOOR OPNG RH-1,1,0.0
"GARNISH,COWL SIDE,R",1,0.0
"TRIM COMP,QURTER LOWER,R",1,0.0
HING BONET LH,1,0.0
PANEL ENGINE ROOM LH,1,0.0
WEATHERSTRIP BACK DR WINDOW,1,0.0
GASKET EXT. MANIFOLD,1,0.0
BRKT FR FENDER L,1,0.0
COMP OIL,1,0.0
dash pnl,1,0.0
HInge upper rhs,1,0.0
LATCH front,1,0.0
GARNISH FR FOG R & L,1,0.0
DASH SIDE PANEL LH,1,0.0
SIDE SILL LOWER LH,1,0.0
waser tank,1,0.0
REINF DASH SIDE LH,1,0.0
Brace L/Support RH,1,0.0
LH BUMPER BRACKET,1,0.0
"CONTROLLER ASSY,KEYLESS",1,0.0
SASH COMP REAR DR RH,1,0.0
W/STRIP REAR DOOR LH,1,0.0
Hinge fr dr upr RH,1,0.0
ARM ASY FRT SUSPENSION LH,1,0.0
COVER FRT END LWR,1,0.0
Trim quarter panel lower,1,0.0
WHEEL COVER REAR LH,1,0.0
RH ENGINE MOUNTING ,1,0.0
Sensor water temp.,1,0.0
BEARING CRANKSHAFT UPR (PINK),1,0.0
SWITCH ASSLY POWER WINDOW,1,0.0
"FAN ASSY, ENG CLG- BROKEN",1,0.0
Latch back door,1,0.0
Cover Ft Frame Left,1,0.0
Bulb Holder Left,1,0.0
"Member, Fr bumper",1,0.0
"Hose, Air Clnr Suction",1,0.0
Glass R  W RH,1,0.0
Dash panel side RH,1,0.0
"SENSOR ,FR WHEEL,LH",1,0.0
QTR Inner Lower R,1,0.0
RH tail light,1,0.0
Extension QTR Inner Upr R,1,0.0
INNER COVER FRONT LEFT,1,0.0
"PANEL,RR INNER UPPER,L",1,0.0
TURN SIGANAL,1,0.0
Bar Torsion,1,0.0
Front LH seat servicable,1,0.0
Arm comp rear door slid set,1,0.0
HANDLE OUT SIDE ALTO LH,1,0.0
MIRROR CAP RH,1,0.0
REGULATOR REAR WINDOW LH,1,0.0
MOUNTING RADTR,1,0.0
HINGE COMP FRONT DOOR UPPER R,1,0.0
"Reinf, Fr door hinge RH",1,0.0
Holder REar LH,1,0.0
MOLDING RAD GRILLE UPR,1,0.0
"Cap, Inlet pipe",1,0.0
Fender Rh ,1,0.0
Linkage Assy,1,0.0
"BRACKET, FRONT FNDR LOWER, R",1,0.0
MEMBER ROOF NO1,1,0.0
"Tank assy, Washer",1,0.0
HINGE COMP FRONT DOOR UPPER R 2,1,0.0
"Switch assy, Pwr Wdw Main",1,0.0
TAIL END MEMBER TRIM,1,0.0
NOZZEL ,1,0.0
FUEL INLET BOX,1,0.0
LH Back Light,1,0.0
ARM ASSY FRONT SUSP R,1,0.0
"Member, Cowl side outer RH",1,0.0
-PANEL SIDE SILL RH,1,0.0
CALIPER ASSY FR BRAKE R,1,0.0
"GUARD ASSY,SIDE ALL",1,0.0
Weatherstrip Fr door out R,1,0.0
Cotter wall,1,0.0
frot skirt lower,1,0.0
Seat wall spring,1,0.0
Hinge Bonnet|Hood Right.,1,0.0
mould pillar,1,0.0
Hinge back door set,1,0.0
COVER LOWER FRONT,1,0.0
Panel assy fender RH,1,0.0
Bonnet lock switch,1,0.0
Fog lamp R/S,1,0.0
MEMBER HOODLOCK,1,0.0
Cover head cylinder,1,0.0
"NUT,RISER",1,0.0
RIGHT CORNER,1,0.0
MOLDING FR GLASS,1,0.0
Tyre FR LH,1,0.0
Rod FR Suspension Compression,1,0.0
Cover FR Frame FR LH,1,0.0
PANEL REAR LAMP HOUSING OTR RH,1,0.0
Hanger Trailing ARM LH,1,0.0
Trim FR Door Opening,1,0.0
Reinforcement Dash Side LH,1,0.0
RH FRONT DOOR MOULING,1,0.0
Reinforcement RR Door Shut,1,0.0
"COVER,HOD LOCK MEMBER",1,0.0
"REINF,ROF SIDE,R",1,0.0
Pane Quarter R,1,0.0
"GARNISH, GRL UPR NO.1",1,0.0
Both Headlamps,1,0.0
hood latch Cable,1,0.0
SASH REAR DOOR R,1,0.0
mounting Enginr RH and LH,1,0.0
CRASSMEMBER FR LOWER,1,0.0
CAP RESERVOIR ,1,0.0
Emblem EECo,1,0.0
BUMPER BUMPER HOLDERS,1,0.0
PILLAR INNER PANEL RIGHT,1,0.0
FR LWR,1,0.0
CAP TRUNK ROOM REAR TRIM,1,0.0
Garnish comp.cowl top side L,1,0.0
Hose Air Clnr Suct,1,0.0
Garnish fr R,1,0.0
"PANEL,COWLFRONT",1,0.0
VECTRA (JK),1,0.0
REINF HOOD CUSHION  LEFT AND RIGHT,1,0.0
Unir RR LampComp R,1,0.0
WEATHERSTRIP FRONT DOOR INSIDE,1,0.0
oxy gen sensor,1,0.0
"Controller, A/B - 38910M71L21",1,0.0
Reinf Rer Wheel House Front Left,1,0.0
Bolt Nos 5,1,0.0
Valve 83 x 93 x 7   2 nos,1,0.0
GLASS QUARTER RH,1,0.0
Dor fuel filler,1,0.0
Member rf dtr no-3,1,0.0
Member rf dtr no-4,1,0.0
"Garnish,Cowl top side LH",1,0.0
Block Assy Cylinder,1,0.0
Bracket Inter Cooler Upr,1,0.0
Panel rr lamphouse otr LH,1,0.0
Cover fr end side LH,1,0.0
BOS ASSY STG GEAR,1,0.0
Panel instrument cluster,1,0.0
Trim otr inr upr RH,1,0.0
Trim set rr dr RH,1,0.0
Member Comp RR eat Back MTG,1,0.0
Tapr dr out fr RH,1,0.0
"Door assy, Passenger Air Bag",1,0.0
Sunvisor RH,1,0.0
SENSOR COMP FR WHEEL,1,0.0
Extension Front Fender Lower Bracket 2,1,0.0
COMP DASH SIDE LH,1,0.0
"PIPE, PV TO FR BK HOSE, L",1,0.0
HP INJ. PIPE TO RAIL NO.1,1,0.0
"HP INJ. PIPE TO RAIL, NO 2 TRIAL PA",1,0.0
"BPR ,REAR LOWER",1,0.0
"MEMBER COMP,F",1,0.0
"CLIP,OIL COOLER HOSE",1,0.0
REINF COMP REAR DOOR HINGE L ,1,0.0
COVER SPLASH L ,1,0.0
"BOTH LINING,FRONT FENDER",1,0.0
AC CAN GAS2,1,0.0
Seat Belt front lhs,1,0.0
REAR RH BUMPER BRACKET,1,0.0
PIPE  WTR INLET,1,0.0
WHEEL COMP FR  LH,1,0.0
MOLDING ROOF LH ,1,0.0
GLASS COMP REAR DOOR WINDOW L,1,0.0
Clamp Inter Cooler Hose 2,1,0.0
"Belt assy, Fr RH",1,0.0
WEATHERSTRIP FRONT DOOR OUT L ,1,0.0
HANDEL LH 2,1,0.0
"Mirror assy, Outer Rear",1,0.0
Joint stabilier,1,0.0
"Weatherstrip, Front door, Out LH",1,0.0
Swift I/P,1,0.0
WEATHERSTRIP FRONT DOOR OPNG L ,1,0.0
WEATHERSTRIP RR DR OUT FR R,1,0.0
W/S GLASS SEALANT,1,0.0
"STRUT SET,FR LH(NEW SWIFT",1,0.0
tap rear  door,1,0.0
"Module assy, Air Bag",1,0.0
stabliser bar,1,0.0
Engine Under Cover 3nos,1,0.0
Molding Fr Pillar Lower L,1,0.0
Ac Can Gas 450GM,1,0.0
EMBLEM REAR(WAGON R,1,0.0
Cap WTR Inlet,1,0.0
Belt assy. Ft. LH,1,0.0
CONSUMABLE ITEMS,1,0.0
Garnish back licence ,1,0.0
"Hinge, Fr door lower RH",1,0.0
Stop fr Rh side,1,0.0
"HOLDER, FR B SIDE, R",1,0.0
RESERVOIR ASY MASTER,1,0.0
Engine Machining,1,0.0
BRACKET RR BUMPER RH ,1,0.0
Panel RR lamp house outer RH,1,0.0
Trim front door,1,0.0
member rediator supprot,1,0.0
Cylinder assy clutch operating,1,0.0
LH TRUNK HINGE,1,0.0
"Stay, front hood",1,0.0
Grill croom,1,0.0
Arm LH,1,0.0
Panel Front Fill Housing,1,0.0
"CLIP,HTR OUTLET HOSE(DASH SIDE",1,0.0
"HOSE,WTR THROT BODY INLET NO.",1,0.0
"Member, Lamp support RH",1,0.0
Strut Assy 1,1,0.0
COVER IP CTR LOWER,1,0.0
Gear lever wire,1,0.0
CONTROLLER BODY ELE.,1,0.0
Run front lh,1,0.0
"STOPPER COMP,BUMP",1,0.0
"Garnish, Radiator Grille Upper LH",1,0.0
Cover Floor Console Front Left,1,0.0
Panel comp front pillar Inner,1,0.0
"PNL,RR LAMP HOUSE OTR,R",1,0.0
"SWITCH ASSY,PARKING BK,ALTO EXP",1,0.0
tape frt door under,1,0.0
THERMOSATE CAP WATER,1,0.0
COVER COMP FRONT  BUMPER LOWER,1,0.0
Regulator assy front window,1,0.0
Tape frt dr top,1,0.0
PIPE AIR INLET,1,0.0
"TAPE,REAR  OUTER RR,L(BLA",1,0.0
Garnish front bumper grill,1,0.0
RR COVER HOLDER LH,1,0.0
Bkt Front Bumper rhs,1,0.0
GAURD ASSY RR DOOR SPALSH R,1,0.0
"APE,FRONT DOOR PILLAR RR,L",1,0.0
"HUB ASSY,WHEEL1",1,0.0
Trim RR,1,0.0
FRONT DOOR GLASS RH,1,0.0
brace rh,1,0.0
INDICATOR ASSY FRONT BUMPER,1,0.0
FOG LAMP GRILLE,1,0.0
BALANCE ROD RH,1,0.0
MEMBER FR  BUMPER  ,1,0.0
GRILLE RADIATOR  LOWER  ,1,0.0
WIPER MOTOR AND LINKAGE ASSY,1,0.0
GRILLE RADIATOR  UPPER ,1,0.0
"GARNISH, FR BR LOWER",1,0.0
"RAIL,RF,L(BLACK)",1,0.0
"SASH, FR DR RR LH",1,0.0
"BUMPER,FRONT LOWER,RH",1,0.0
"EXTENSION, SIDE BODY UPR LH",1,0.0
AIR DRYING SEALER ( PU 92) 2,1,0.0
turn signal 2,1,0.0
MEMBER RADITOR SUPPORT LOWER,1,0.0
Member Bumper Frt,1,0.0
Side body outer Right,1,0.0
HANDLE COMP DOOR WINDOW REGULATOR,1,0.0
WEATHERSTRIP FR DOR OUT LH,1,0.0
MTG RAD SUPPRT 2NOS,1,0.0
BODY FILLAR,1,0.0
LINING COMP FR FENDER ,1,0.0
MIRROR ASSY OUTL,1,0.0
LAMP LH,1,0.0
qtr panel reLing,1,0.0
MTG RDTR SPT LOWER,1,0.0
PANEL COMP APRN SIDE MBR OTR R,1,0.0
Garnish Ft pillar outer RH,1,0.0
Partion panel Rh,1,0.0
LOARAM BALENO RH,1,0.0
MOLDIN  L,1,0.0
"TAPE, FRONT RH",1,0.0
DECCAL ECCO,1,0.0
"EMBLEM,ZDI (CHROME)",1,0.0
"WEATHERSTRIP,REAR DR RH",1,0.0
"GLASS COMP ,BACK DOOR WINDOW",1,0.0
Controller assy glow,1,0.0
LAMP REAR COMBINATION LH,1,0.0
emelbm s,1,0.0
BAZEL FRONT FOG R,1,0.0
BEARING FRONT WHEEL R,1,0.0
"WEATHERSTRIP, REAR DR OPNG,L",1,0.0
Guard splash lh,1,0.0
MRMBER FRONT BUMPER,1,0.0
OUTLET COMP VENDILATOR,1,0.0
"GARNISH,FR BU LOWER",1,0.0
Rear fender lining lh,1,0.0
Panel Rear lamp house inner,1,0.0
Trim Door Opening,1,0.0
HOLDERFR BU SIDER,1,0.0
holde r bpr 2nos,1,0.0
Sensor Sun Light,1,0.0
Sash FR DR Rear Lower LH,1,0.0
"SEAL, BUMPER",1,0.0
Cover license plate,1,0.0
"HINGE COMP, r",1,0.0
wheel guard lh rear,1,0.0
SENSOR ASSLY APRK,1,0.0
WHEEL RIM RH & LH,1,0.0
PANNEL COMP,1,0.0
SCRAPE OUTER FT DOOR RH & LH,1,0.0
EXTENTION RH UPPER,1,0.0
"TAPE, FR 1",1,0.0
HOLDER FR BUMPER FR,1,0.0
STRUT SET FRT SPNSN  R,1,0.0
SENSOR ASY RH,1,0.0
DOR GLASS FR RH,1,0.0
"ARM ASSY,FRONT R",1,0.0
FOG LAMP GRILE,1,0.0
FR END COVER LOWER,1,0.0
FENDER PANEL ASSY,1,0.0
FR RH DOOR LOCK ASSY,1,0.0
PANELbASSY FR DOOR LH,1,0.0
RR RH DOOR LOCK ASSY,1,0.0
HINGE Fr HOOD LH,1,0.0
PANEL Fr PILLAR INNER LH,1,0.0
MAMBER  ROOF PANEL CTR NO 4,1,0.0
HINGE Fr DOOR UPPER RH,1,0.0
COVER I/P CTR SIDE,1,0.0
BOX FLOOR CONSOLE Fr,1,0.0
TRIM Fr DOOR OPENING,1,0.0
weather strip rr,1,0.0
Super Adhesive Tape,1,0.0
"GARNISH, FR BUMPER r",1,0.0
Air drying sealent ,1,0.0
"FASTNESS (BOLT, NUT, WASHER",1,0.0
Reinf rr floor under,1,0.0
handle outside,1,0.0
Rh fender,1,0.0
Tape Fr Door Outer RR Lh,1,0.0
Fr.lh hinges up&lower,1,0.0
Fr.lh inner garnish,1,0.0
Wiper blade,1,0.0
W/ glass,1,0.0
CYLINDER ASSY CLITCH MASTER,1,0.0
GROMENT RR LAMP,1,0.0
CLIP 25,1,0.0
Air Dryer Sealant,1,0.0
"GARNISH, FR BUMPER l",1,0.0
Rod Front Compression,1,0.0
GARNISH FR BUMEPR CTR,1,0.0
Reg Rr Window Left,1,0.0
Garnish Ft Pillar Outer LH,1,0.0
Knob Sub Assy Shif Gear,1,0.0
PANELCOMP RR QUARTER INNER RH,1,0.0
DECAL SEDE STRIPE RR QTR R,1,0.0
BOLT 01550M0616A,1,0.0
ECSTAR PETROL 0W20 - CASTROL,1,0.0
GARNISH FRT SIDE LH,1,0.0
Member Ft Side LH,1,0.0
Hinge Comp Front Hood Lh,1,0.0
harness assy engine,1,0.0
"MBR COMP APRN SIDE,RH",1,0.0
PANEL FRONT PILLAR INN,1,0.0
garnish front center,1,0.0
"BRACKET COMP,STABILIZER,R FRONT",1,0.0
HOLDER RR   BUMPER RH,1,0.0
Panel Comp Instrument Main Upper ,1,0.0
Lining Comp Front Fender R ,1,0.0
Wheel S/Assy Steering ,1,0.0
"BEZEL FRONT FOG LAMP,L",1,0.0
Hose Discharge ,1,0.0
Cover Front Fender Rh,1,0.0
CLIP 8PCS,1,0.0
tape rear pillar,1,0.0
Member Front Side Rh ,1,0.0
VACCUM BOSSTER ASYY,1,0.0
V-BELT(4PK,1,0.0
Tape front door outer roof,1,0.0
BEAM RR SUSP,1,0.0
Bolt3,1,0.0
Bolt Stud1,1,0.0
CAS ASSY OIL FILTER,1,0.0
SIEREN ASSY SECURITY,1,0.0
GARNISH COWL TOP SIDE  L,1,0.0
Arm Assy Front Suspesion R,1,0.0
EMBLE AMRK S,1,0.0
Cover Comp Floor Console Frt RH,1,0.0
Reinforcement Complete Right,1,0.0
Cover Comp Floor Console Fr LH,1,0.0
garnsh 2,1,0.0
TRI TAIL END COMP,1,0.0
WHEEL COMP 03,1,0.0
latch door,1,0.0
Lining FR Fender R ,1,0.0
MEBER COMP HOOD LOCK,1,0.0
UNIT HEDLMP RH,1,0.0
RH RR DOOR STOPER,1,0.0
RH REAR SEAT BELT,1,0.0
"TAPE,REAR DR OUTER RR,L",1,0.0
BRACKET FR DR OUT HANDLE RH,1,0.0
TRIM FRT PILLAR RH,1,0.0
BRAKT INTRCLR UPR,1,0.0
RIM FRONT,1,0.0
ECSTAR PETROL OIL ENGIN,1,0.0
Glass Back Door window,1,0.0
MEBER COMP FR BUMP,1,0.0
Panel QTR inner R,1,0.0
PANEL FR LHS,1,0.0
MOTOR ASSY WASHER ,1,0.0
STABILIZER ROD,1,0.0
LATCH COMP FRONT HOOD,1,0.0
BRKT TOWING HOOK,1,0.0
extention ft bpr,1,0.0
HOOD HINGE R & L,1,0.0
ARM ASSY FRT SUSPENSION YE2E,1,0.0
"BRACKET, ENGINE MTG , RH",1,0.0
"BRACE , LAMP SUPPORT, R",1,0.0
"LINING, FRONT FENDER, L",1,0.0
"GARNISH, LP CTR",1,0.0
HANDLE REAR,1,0.0
HOLDER FRONT BUMPER FRONT SIDE L,1,0.0
MEMBR FR BUMPER,1,0.0
"GARNISH,L",1,0.0
Lamp back side,1,0.0
Sealent glass ,1,0.0
r Garnish Chrome,1,0.0
lower side vent lh ,1,0.0
ARM WIPER ,1,0.0
FRAMR FRONT SUSPENSION,1,0.0
MGP RUSH SMASH,1,0.0
"WEATHERSTRIP,FRON 1",1,0.0
"WEATHERSTRIP,FRON 3",1,0.0
Support Complete Front Strut,1,0.0
Connector Brake Vaccum,1,0.0
CAP FRONT  BUMPER ,1,0.0
LAMP SUPPORTS,1,0.0
"CABLE COMP, LATCH",1,0.0
FRONT LOWER CROSSMEBER,1,0.0
Pad RR Corner RH,1,0.0
RADIATOR SUPPORT BRACKET UPR RH,1,0.0
LINNING  FRONT FENDER  L ,1,0.0
Tape Door RR RH 1,1,0.0
RADIATOR MOUNT LWR,1,0.0
RADIATOR MOUNT UPR,1,0.0
CONROLLER ASSY A/B,1,0.0
CLIP 10 PIC,1,0.0
HOE AIR CLEAR OUT,1,0.0
FLOOR ASSY REAR,1,0.0
REAR LIGHT,1,0.0
hood assy,1,0.0
Bulbs 03 Nos,1,0.0
"BEARING, CRANKSHAFT LOWER",1,0.0
Stay FR Bumper RH,1,0.0
MOTOR BLOWER,1,0.0
Stopper Strut R/s,1,0.0
GASKET CYLINDER HEAD 1,1,0.0
"BRACKET, FR FENDER RH",1,0.0
"BRACKET, FRONT FENDER FR RH",1,0.0
"WEATHERSTRIP, FRONT DR OUT RH",1,0.0
LAMP ASY REAR FOG,1,0.0
CLOTH & MASK,1,0.0
SEAL 2,1,0.0
Caliper Brake Ft Right,1,0.0
Strength Side Running Board Right,1,0.0
Gasket 02 Nos,1,0.0
BALANCER COMP BACK DOOR RIGHT,1,0.0
Filter Oil,1,0.0
Cover I/p Ctr Upr,1,0.0
Glass Windshiloed,1,0.0
CYLINDER GASKET,1,0.0
Bezel I/p Switch,1,0.0
"LINING,FR FEN,L",1,0.0
Run FT Door Glass Right,1,0.0
WEATHERSTRIP COMP. RR DR OUT,1,0.0
TYAR,1,0.0
RAIL COMP REAR DOOR CENTER LH,1,0.0
CROSSMEMBER COMPRR FLOOR,1,0.0
SWITCH ASSU LIGHTING & TRUN,1,0.0
LINING COMPFRONT FENDER RH,1,0.0
SENSOR OXYGEN SENSOR,1,0.0
GARNISH RADIATOR GRIILE RH,1,0.0
MOLDING ROOF PILLAR LOWER LH,1,0.0
"CABLE COMP, HOOD LATCH ",1,0.0
FRONT BUMPER HOLDER ,1,0.0
GRARD REAR FENDER SPLASH LH,1,0.0
WEATHETR STRIP DOOR,1,0.0
TRIM SET RER DOOR LH,1,0.0
"HINGE,REAR DR LOWER,R",1,0.0
LATCH ASSYFRONT DR L,1,0.0
Cap Front towing Hook,1,0.0
Trim Comp Qtr Lwr RR R,1,0.0
"MEMBER,ROF PANEL CTR NO.2",1,0.0
Reflector Assy Rear Right,1,0.0
"CAP,ROF RAIL CTR,R",1,0.0
"SWITCH ASSY,H/L LEVELING",1,0.0
Panel RR Lamp House Outer R,1,0.0
AIR FILTER ELEMNET,1,0.0
COVER OUTER MIRROR LH,1,0.0
Set Contact Coil & Auto Light Tank,1,0.0
HWEEL RIM,1,0.0
LAMP ASSY TURN SIGNAL LH,1,0.0
LOWER RADITOR GRILLE,1,0.0
Member RR Floor Side RR RH,1,0.0
CABLE COMP. HOOD,1,0.0
moulding pillar rh,1,0.0
Tape rear door pillar RR L- Damaged,1,0.0
LOWER COVER LH,1,0.0
PANEL BACK RR,1,0.0
GARNISH RADIATOR GRILL LWR L ,1,0.0
"HANDLE OUTSIDE, ALTO WAGON",1,0.0
"GLASS REAR DOOR PARTITION,R",1,0.0
HINGE RR SLIDE RH,1,0.0
MEMBER COM FR BMPR,1,0.0
WINDSHIED GLASS,1,0.0
garnish comp ctr,1,0.0
GARNISH FLOOR CONSOLE,1,0.0
ORNAMENT I/P ASST,1,0.0
REINF FR PLR UPR LH,1,0.0
"GRILLE RDTR,LOWER 2",1,0.0
REINF COM CTR PILLAR LH,1,0.0
PANEL COMP DASH SIDE FRT R,1,0.0
PANEL COMP FRT PILLAR INNER R,1,0.0
WEATHERSTRIP FRT DOOR INNER L,1,0.0
Knob sub assy,1,0.0
Airbag controller assy,1,0.0
HOSE ASSY REAR WASHER BACK DOOR,1,0.0
COVER ENGINE UNDER  SIDE R,1,0.0
SWITCH ASSY POWER WDO SUB,1,0.0
"PnL COMP,RR LAMP HOUSE OTR,L",1,0.0
Butterfly Glass Rear Frame and Lock Left,1,0.0
WEATHERSTRIP  REAR DOOR OPNG RH,1,0.0
REINF REAR PLR RH,1,0.0
MEMBER QTR INNER LOWER RH,1,0.0
RAIL ROOF SIDE INR REAR LH,1,0.0
cable comp hood ltach release,1,0.0
cowl top garnish left,1,0.0
Back Panel Trim,1,0.0
"BEZAEL FRONT FOG LAMP , L",1,0.0
"TANK ASSY, WASHER FRT",1,0.0
Module,1,0.0
GARNISH BEZEL,1,0.0
Holder rear Bumper,1,0.0
Tape Rear Door Outer Upr RH,1,0.0
Tape Fr. Pillar Upper LH,1,0.0
BRACKET FRRH,1,0.0
CROSSMEMBER FT LOWER,1,0.0
DOOR TAPE REAR R,1,0.0
HOCKEY PILLAR RH,1,0.0
"GLASS,REAR WINDOW,L",1,0.0
INIDC ASSY,1,0.0
WEATHER OUTER LH,1,0.0
MEMBER ROF FRT INER,1,0.0
Handle side rear out RH,1,0.0
HANDLE COMP FR DOOR INSIDE L,1,0.0
"PANEL ,WHEEL HOUSE OUTER,LH",1,0.0
Roof Assy Sliding,1,0.0
Cap Roof Rail Front Left,1,0.0
Lamp side turn signal,1,0.0
FOG LIGHT BEZEL BOTH,1,0.0
"SASH COMP,REAR CENTER,L",1,0.0
"EMBLEM, S (CHRO",1,0.0
holder lh and rh,1,0.0
STOPPER FRT STRUT REBO,1,0.0
BELT SEAT LH,1,0.0
LAMP RR COMBINATION LH,1,0.0
Hinge pillar RH ,1,0.0
Wiper link rod ,1,0.0
PANEL FORNT HOOD,1,0.0
TOWE CAP,1,0.0
"BRACE, MAIN FLOOR TUNNEL FR",1,0.0
Ecco Half Engine,1,0.0
PAEK SESOR,1,0.0
R/H HINGES REAR DOOR LOWER,1,0.0
WHEEL COVER 35.36 CM,1,0.0
Member Roof Panel No-4,1,0.0
DASH COMP,1,0.0
Checker Assy Rear Door Left,1,0.0
cover sub relay box,1,0.0
